lat,lon,normalized_light_intensity,economic_activity_score,commercial_potential,grid_i,grid_j,timestamp
35.427222,45.22385206060606,0.0023026603915007548,0.23026603915007549,Low,0.0,17.0,2025-10-05T14:47:53.563194
35.427222,45.22785318181818,0.10874329165645412,10.874329165645412,Low,0.0,18.0,2025-10-05T14:47:53.563194
35.427222,45.2318543030303,0.19989789246601294,19.989789246601294,Low,0.0,19.0,2025-10-05T14:47:53.564196
35.427222,45.23585542424242,0.08786258160466372,8.786258160466371,Low,0.0,20.0,2025-10-05T14:47:53.564196
35.427222,45.23985654545454,0.043912190537627876,4.3912190537627875,Low,0.0,21.0,2025-10-05T14:47:53.564196
35.427222,45.24385766666667,0.09514004204687945,9.514004204687945,Low,0.0,22.0,2025-10-05T14:47:53.564196
35.427222,45.24785878787879,0.06589459763639004,6.589459763639003,Low,0.0,23.0,2025-10-05T14:47:53.564196
35.427222,45.25185990909091,0.11942164077767625,11.942164077767625,Low,0.0,24.0,2025-10-05T14:47:53.564196
35.427222,45.25586103030303,0.16412126208489372,16.412126208489372,Low,0.0,25.0,2025-10-05T14:47:53.564196
35.427222,45.25986215151515,0.08241059272595926,8.241059272595926,Low,0.0,26.0,2025-10-05T14:47:53.564196
35.427222,45.26386327272727,0.08648375635108525,8.648375635108525,Low,0.0,27.0,2025-10-05T14:47:53.564196
35.427222,45.2678643939394,0.05338993509734191,5.338993509734191,Low,0.0,28.0,2025-10-05T14:47:53.564196
35.427222,45.27186551515152,0.08800062801918403,8.800062801918402,Low,0.0,29.0,2025-10-05T14:47:53.564196
35.427222,45.27586663636364,0.15668472057234406,15.668472057234407,Low,0.0,30.0,2025-10-05T14:47:53.564196
35.427222,45.27986775757576,0.07817822609460082,7.817822609460082,Low,0.0,31.0,2025-10-05T14:47:53.564196
35.427222,45.28386887878788,0.10197703041226427,10.197703041226427,Low,0.0,32.0,2025-10-05T14:47:53.565198
35.427222,45.28787,0.042472607146099996,4.247260714609999,Low,0.0,33.0,2025-10-05T14:47:53.565198
35.427222,45.29187112121212,0.14579801082467703,14.579801082467704,Low,0.0,34.0,2025-10-05T14:47:53.565198
35.427222,45.295872242424245,0.17660877224381122,17.66087722438112,Low,0.0,35.0,2025-10-05T14:47:53.565198
35.427222,45.299873363636365,0.08859630892882109,8.859630892882109,Low,0.0,36.0,2025-10-05T14:47:53.565198
35.427222,45.303874484848485,0.03571240942868353,3.5712409428683527,Low,0.0,37.0,2025-10-05T14:47:53.565198
35.427222,45.307875606060605,0.13779200633654712,13.779200633654712,Low,0.0,38.0,2025-10-05T14:47:53.565198
35.427222,45.311876727272725,0.015909381596624673,1.5909381596624674,Low,0.0,39.0,2025-10-05T14:47:53.565198
35.427222,45.315877848484845,0.05543401021692025,5.543401021692025,Low,0.0,40.0,2025-10-05T14:47:53.566192
35.427222,45.31987896969697,0.07582170885235003,7.582170885235002,Low,0.0,41.0,2025-10-05T14:47:53.566192
35.427222,45.32388009090909,0.16691768647812905,16.691768647812903,Low,0.0,42.0,2025-10-05T14:47:53.566192
35.427222,45.32788121212121,0.1228286067423396,12.28286067423396,Low,0.0,43.0,2025-10-05T14:47:53.566192
35.427222,45.33188233333333,0.04718974888261218,4.718974888261219,Low,0.0,44.0,2025-10-05T14:47:53.566192
35.427222,45.33588345454545,0.18338876716222227,18.338876716222227,Low,0.0,45.0,2025-10-05T14:47:53.566192
35.427222,45.33988457575757,0.13347523170484066,13.347523170484067,Low,0.0,46.0,2025-10-05T14:47:53.566192
35.427222,45.3438856969697,0.09966739054503736,9.966739054503735,Low,0.0,47.0,2025-10-05T14:47:53.566192
35.427222,45.34788681818182,0.17379149723654913,17.379149723654912,Low,0.0,48.0,2025-10-05T14:47:53.567203
35.427222,45.35188793939394,0.03598029313516593,3.598029313516593,Low,0.0,49.0,2025-10-05T14:47:53.567203
35.427222,45.35588906060606,0.143857949952086,14.3857949952086,Low,0.0,50.0,2025-10-05T14:47:53.567203
35.427222,45.35989018181818,0.007858209199381783,0.7858209199381784,Low,0.0,51.0,2025-10-05T14:47:53.567203
35.427222,45.3638913030303,0.16981941434730563,16.98194143473056,Low,0.0,52.0,2025-10-05T14:47:53.567203
35.427222,45.36789242424243,0.11483043004550597,11.483043004550597,Low,0.0,53.0,2025-10-05T14:47:53.567203
35.427222,45.37189354545455,0.11199320167145677,11.199320167145677,Low,0.0,54.0,2025-10-05T14:47:53.567203
35.427222,45.37589466666667,0.06452451306387322,6.452451306387322,Low,0.0,55.0,2025-10-05T14:47:53.567203
35.427222,45.37989578787879,0.004345272964740588,0.43452729647405874,Low,0.0,56.0,2025-10-05T14:47:53.568194
35.427222,45.38389690909091,0.04354120654421432,4.354120654421432,Low,0.0,57.0,2025-10-05T14:47:53.568194
35.427222,45.38789803030303,0.10631689987976956,10.631689987976955,Low,0.0,58.0,2025-10-05T14:47:53.568194
35.427222,45.391899151515155,0.10091990819939328,10.091990819939328,Low,0.0,59.0,2025-10-05T14:47:53.568194
35.427222,45.395900272727275,0.10217362265726866,10.217362265726866,Low,0.0,60.0,2025-10-05T14:47:53.568194
35.427222,45.399901393939395,0.15519709699763237,15.519709699763236,Low,0.0,61.0,2025-10-05T14:47:53.568194
35.427222,45.403902515151515,0.06153902331837924,6.153902331837924,Low,0.0,62.0,2025-10-05T14:47:53.568194
35.427222,45.407903636363635,0.14240342215930657,14.240342215930657,Low,0.0,63.0,2025-10-05T14:47:53.568194
35.427222,45.411904757575755,0.1824704486071302,18.247044860713018,Low,0.0,64.0,2025-10-05T14:47:53.568194
35.427222,45.41590587878788,0.18681986573432569,18.681986573432567,Low,0.0,65.0,2025-10-05T14:47:53.569216
35.427222,45.419907,0.01843357723718979,1.843357723718979,Low,0.0,66.0,2025-10-05T14:47:53.569216
35.427222,45.42390812121212,0.1433987800132514,14.33987800132514,Low,0.0,67.0,2025-10-05T14:47:53.569216
35.427222,45.42790924242424,0.103227562799525,10.3227562799525,Low,0.0,68.0,2025-10-05T14:47:53.569216
35.427222,45.43191036363636,0.18684574847102944,18.684574847102944,Low,0.0,69.0,2025-10-05T14:47:53.569216
35.427222,45.43591148484848,0.12524370410462124,12.524370410462124,Low,0.0,70.0,2025-10-05T14:47:53.569216
35.427222,45.4399126060606,0.13866548570984252,13.866548570984252,Low,0.0,71.0,2025-10-05T14:47:53.569216
35.427222,45.44391372727273,0.03562179745952434,3.562179745952434,Low,0.0,72.0,2025-10-05T14:47:53.569216
35.427222,45.44791484848485,0.19556931280620637,19.55693128062064,Low,0.0,73.0,2025-10-05T14:47:53.569216
35.427222,45.45191596969697,0.15676750342151508,15.676750342151507,Low,0.0,74.0,2025-10-05T14:47:53.569216
35.427222,45.45591709090909,0.18660657457563878,18.66065745756388,Low,0.0,75.0,2025-10-05T14:47:53.570196
35.427222,45.45991821212121,0.0314169202614679,3.1416920261467896,Low,0.0,76.0,2025-10-05T14:47:53.570196
35.427222,45.46391933333333,0.09318571537254079,9.31857153725408,Low,0.0,77.0,2025-10-05T14:47:53.570196
35.427222,45.46792045454546,0.07279915910105386,7.2799159101053865,Low,0.0,78.0,2025-10-05T14:47:53.570196
35.427222,45.47192157575758,0.16182339415612312,16.18233941561231,Low,0.0,79.0,2025-10-05T14:47:53.570196
35.427222,45.4759226969697,0.03985863191746744,3.985863191746744,Low,0.0,80.0,2025-10-05T14:47:53.570196
35.427222,45.47992381818182,0.18119451723507485,18.119451723507485,Low,0.0,81.0,2025-10-05T14:47:53.570196
35.427222,45.48392493939394,0.14242893278895405,14.242893278895405,Low,0.0,82.0,2025-10-05T14:47:53.570196
35.427222,45.48792606060606,0.07282278217143259,7.28227821714326,Low,0.0,83.0,2025-10-05T14:47:53.570196
35.427222,45.491927181818184,0.014266483298107535,1.4266483298107535,Low,0.0,84.0,2025-10-05T14:47:53.571203
35.427222,45.495928303030304,0.08340523605012734,8.340523605012734,Low,0.0,85.0,2025-10-05T14:47:53.571203
35.427222,45.499929424242424,0.06272465738575264,6.2724657385752645,Low,0.0,86.0,2025-10-05T14:47:53.571203
35.427222,45.503930545454544,0.16154187267894962,16.15418726789496,Low,0.0,87.0,2025-10-05T14:47:53.571203
35.427222,45.507931666666664,0.13237116987251576,13.237116987251577,Low,0.0,88.0,2025-10-05T14:47:53.571203
35.427222,45.511932787878784,0.15763145135890583,15.763145135890582,Low,0.0,89.0,2025-10-05T14:47:53.571203
35.427222,45.51593390909091,0.10285159834850244,10.285159834850244,Low,0.0,90.0,2025-10-05T14:47:53.571203
35.427222,45.51993503030303,0.19116704245800517,19.116704245800516,Low,0.0,91.0,2025-10-05T14:47:53.571203
35.427222,45.52393615151515,0.18057989965375013,18.05798996537501,Low,0.0,92.0,2025-10-05T14:47:53.571203
35.427222,45.52793727272727,0.07369294104099817,7.369294104099818,Low,0.0,93.0,2025-10-05T14:47:53.571203
35.427222,45.53193839393939,0.12177595001671693,12.177595001671692,Low,0.0,94.0,2025-10-05T14:47:53.572192
35.427222,45.53593951515151,0.1404958249348296,14.049582493482959,Low,0.0,95.0,2025-10-05T14:47:53.572192
35.427222,45.53994063636364,0.09704166276325732,9.704166276325733,Low,0.0,96.0,2025-10-05T14:47:53.572192
35.427222,45.54394175757576,0.1374549326712343,13.745493267123429,Low,0.0,97.0,2025-10-05T14:47:53.572192
35.427222,45.54794287878788,0.01771891556548555,1.771891556548555,Low,0.0,98.0,2025-10-05T14:47:53.572192
35.427222,45.551944,0.17268077416918803,17.268077416918803,Low,0.0,99.0,2025-10-05T14:47:53.572192
35.43012323232323,45.155833,0.06659203219108477,6.659203219108477,Low,1.0,0.0,2025-10-05T14:47:53.573201
35.43012323232323,45.15983412121212,0.05403495864652488,5.403495864652489,Low,1.0,1.0,2025-10-05T14:47:53.573201
35.43012323232323,45.16383524242424,0.09821216586705683,9.821216586705683,Low,1.0,2.0,2025-10-05T14:47:53.573201
35.43012323232323,45.16783636363636,0.01988876765003729,1.988876765003729,Low,1.0,3.0,2025-10-05T14:47:53.573201
35.43012323232323,45.17183748484849,0.0262533662784076,2.6253366278407597,Low,1.0,4.0,2025-10-05T14:47:53.573201
35.43012323232323,45.17583860606061,0.17353409737170453,17.353409737170452,Low,1.0,5.0,2025-10-05T14:47:53.574201
35.43012323232323,45.17983972727273,0.05097678341804826,5.097678341804826,Low,1.0,6.0,2025-10-05T14:47:53.574201
35.43012323232323,45.18384084848485,0.19284068555093659,19.284068555093658,Low,1.0,7.0,2025-10-05T14:47:53.574201
35.43012323232323,45.18784196969697,0.015276109042444697,1.5276109042444697,Low,1.0,8.0,2025-10-05T14:47:53.574201
35.43012323232323,45.19184309090909,0.0778920187244022,7.78920187244022,Low,1.0,9.0,2025-10-05T14:47:53.574201
35.43012323232323,45.195844212121216,0.16517494818832867,16.517494818832866,Low,1.0,10.0,2025-10-05T14:47:53.574201
35.43012323232323,45.199845333333336,0.04464930217957877,4.464930217957877,Low,1.0,11.0,2025-10-05T14:47:53.574201
35.43012323232323,45.203846454545456,0.06712367715665461,6.7123677156654615,Low,1.0,12.0,2025-10-05T14:47:53.574201
35.43012323232323,45.207847575757576,0.13077595668318354,13.077595668318354,Low,1.0,13.0,2025-10-05T14:47:53.574201
35.43012323232323,45.211848696969696,0.008841223054797199,0.8841223054797198,Low,1.0,14.0,2025-10-05T14:47:53.574201
35.43012323232323,45.215849818181816,0.035540080502554375,3.5540080502554376,Low,1.0,15.0,2025-10-05T14:47:53.574201
35.43012323232323,45.21985093939394,0.0017241221326088187,0.17241221326088188,Low,1.0,16.0,2025-10-05T14:47:53.574201
35.43012323232323,45.22385206060606,0.18081946289693895,18.081946289693896,Low,1.0,17.0,2025-10-05T14:47:53.575194
35.43012323232323,45.22785318181818,0.15460292573734036,15.460292573734035,Low,1.0,18.0,2025-10-05T14:47:53.575194
35.43012323232323,45.2318543030303,0.09983805745049597,9.983805745049597,Low,1.0,19.0,2025-10-05T14:47:53.575194
35.43012323232323,45.23585542424242,0.13854042859263974,13.854042859263973,Low,1.0,20.0,2025-10-05T14:47:53.575194
35.43012323232323,45.23985654545454,0.05905806907958762,5.905806907958762,Low,1.0,21.0,2025-10-05T14:47:53.575194
35.43012323232323,45.24385766666667,0.18187444381991047,18.187444381991046,Low,1.0,22.0,2025-10-05T14:47:53.575194
35.43012323232323,45.24785878787879,0.07091441625326751,7.091441625326751,Low,1.0,23.0,2025-10-05T14:47:53.575194
35.43012323232323,45.25185990909091,0.14954148665124412,14.95414866512441,Low,1.0,24.0,2025-10-05T14:47:53.575194
35.43012323232323,45.25586103030303,0.08058330367731247,8.058330367731246,Low,1.0,25.0,2025-10-05T14:47:53.575194
35.43012323232323,45.25986215151515,0.12503642895553174,12.503642895553174,Low,1.0,26.0,2025-10-05T14:47:53.575194
35.43012323232323,45.26386327272727,0.11087987339079748,11.087987339079747,Low,1.0,27.0,2025-10-05T14:47:53.575194
35.43012323232323,45.2678643939394,0.08952370588808041,8.95237058880804,Low,1.0,28.0,2025-10-05T14:47:53.575194
35.43012323232323,45.27186551515152,0.012282435322810148,1.2282435322810148,Low,1.0,29.0,2025-10-05T14:47:53.575194
35.43012323232323,45.27586663636364,0.06876959040922588,6.876959040922588,Low,1.0,30.0,2025-10-05T14:47:53.576199
35.43012323232323,45.27986775757576,0.04552100091234186,4.552100091234186,Low,1.0,31.0,2025-10-05T14:47:53.576199
35.43012323232323,45.28386887878788,0.18448754803410441,18.44875480341044,Low,1.0,32.0,2025-10-05T14:47:53.577508
35.43012323232323,45.28787,0.1696262708189259,16.962627081892588,Low,1.0,33.0,2025-10-05T14:47:53.577508
35.43012323232323,45.29187112121212,0.04998509956201698,4.998509956201698,Low,1.0,34.0,2025-10-05T14:47:53.578033
35.43012323232323,45.295872242424245,0.19736755106559525,19.736755106559524,Low,1.0,35.0,2025-10-05T14:47:53.578033
35.43012323232323,45.299873363636365,0.12324799085451395,12.324799085451394,Low,1.0,36.0,2025-10-05T14:47:53.578033
35.43012323232323,45.303874484848485,0.13116389790820393,13.116389790820392,Low,1.0,37.0,2025-10-05T14:47:53.578033
35.43012323232323,45.307875606060605,0.17572365206365592,17.572365206365593,Low,1.0,38.0,2025-10-05T14:47:53.578033
35.43012323232323,45.311876727272725,0.011392293325661985,1.1392293325661984,Low,1.0,39.0,2025-10-05T14:47:53.578033
35.43012323232323,45.315877848484845,6.292604479127828e-05,0.006292604479127829,Low,1.0,40.0,2025-10-05T14:47:53.579065
35.43012323232323,45.31987896969697,0.07705312298875729,7.705312298875729,Low,1.0,41.0,2025-10-05T14:47:53.579065
35.43012323232323,45.32388009090909,0.188769357088864,18.8769357088864,Low,1.0,42.0,2025-10-05T14:47:53.580064
35.43012323232323,45.32788121212121,0.1637705574510911,16.37705574510911,Low,1.0,43.0,2025-10-05T14:47:53.580064
35.43012323232323,45.33188233333333,0.002261557592253527,0.2261557592253527,Low,1.0,44.0,2025-10-05T14:47:53.580064
35.43012323232323,45.33588345454545,0.021538939737910746,2.1538939737910745,Low,1.0,45.0,2025-10-05T14:47:53.580064
35.43012323232323,45.33988457575757,0.19340998074227816,19.340998074227816,Low,1.0,46.0,2025-10-05T14:47:53.580064
35.43012323232323,45.3438856969697,0.19069759860175803,19.069759860175804,Low,1.0,47.0,2025-10-05T14:47:53.580064
35.43012323232323,45.34788681818182,0.1602379229323621,16.023792293236212,Low,1.0,48.0,2025-10-05T14:47:53.580064
35.43012323232323,45.35188793939394,0.17690075826517324,17.690075826517322,Low,1.0,49.0,2025-10-05T14:47:53.581063
35.43012323232323,45.35588906060606,0.13423075180939878,13.423075180939877,Low,1.0,50.0,2025-10-05T14:47:53.581063
35.43012323232323,45.35989018181818,0.1842445477505144,18.42445477505144,Low,1.0,51.0,2025-10-05T14:47:53.581063
35.43012323232323,45.3638913030303,0.19024577973413292,19.024577973413294,Low,1.0,52.0,2025-10-05T14:47:53.582093
35.43012323232323,45.36789242424243,0.1891018265192905,18.91018265192905,Low,1.0,53.0,2025-10-05T14:47:53.582093
35.43012323232323,45.37189354545455,0.07189768079466301,7.189768079466301,Low,1.0,54.0,2025-10-05T14:47:53.583124
35.43012323232323,45.37589466666667,0.025163756272068728,2.5163756272068727,Low,1.0,55.0,2025-10-05T14:47:53.583124
35.43012323232323,45.37989578787879,0.029064550740886208,2.906455074088621,Low,1.0,56.0,2025-10-05T14:47:53.583124
35.43012323232323,45.38389690909091,0.0696836963404838,6.96836963404838,Low,1.0,57.0,2025-10-05T14:47:53.583124
35.43012323232323,45.38789803030303,0.19901842710214013,19.901842710214012,Low,1.0,58.0,2025-10-05T14:47:53.583124
35.43012323232323,45.391899151515155,0.19250547926977038,19.25054792697704,Low,1.0,59.0,2025-10-05T14:47:53.584126
35.43012323232323,45.395900272727275,0.010612878738044219,1.0612878738044218,Low,1.0,60.0,2025-10-05T14:47:53.584126
35.43012323232323,45.399901393939395,0.041284762275387646,4.128476227538765,Low,1.0,61.0,2025-10-05T14:47:53.584126
35.43012323232323,45.403902515151515,0.09585225513721798,9.585225513721799,Low,1.0,62.0,2025-10-05T14:47:53.584126
35.43012323232323,45.407903636363635,0.043724915606131835,4.372491560613184,Low,1.0,63.0,2025-10-05T14:47:53.584126
35.43012323232323,45.411904757575755,0.06750739617962119,6.750739617962119,Low,1.0,64.0,2025-10-05T14:47:53.584126
35.43012323232323,45.41590587878788,0.06342285313361713,6.342285313361713,Low,1.0,65.0,2025-10-05T14:47:53.584126
35.43012323232323,45.419907,0.1355338879132975,13.553388791329752,Low,1.0,66.0,2025-10-05T14:47:53.585129
35.43012323232323,45.42390812121212,0.02670204092310409,2.670204092310409,Low,1.0,67.0,2025-10-05T14:47:53.585129
35.43012323232323,45.42790924242424,0.08889803332501718,8.889803332501717,Low,1.0,68.0,2025-10-05T14:47:53.585129
35.43012323232323,45.43191036363636,0.1390357484828013,13.903574848280131,Low,1.0,69.0,2025-10-05T14:47:53.585129
35.43012323232323,45.43591148484848,0.14356083913551135,14.356083913551135,Low,1.0,70.0,2025-10-05T14:47:53.585129
35.43012323232323,45.4399126060606,0.06542596162798767,6.542596162798767,Low,1.0,71.0,2025-10-05T14:47:53.585129
35.43012323232323,45.44391372727273,0.07140997327208316,7.140997327208316,Low,1.0,72.0,2025-10-05T14:47:53.585129
35.43012323232323,45.44791484848485,0.002166554045120939,0.2166554045120939,Low,1.0,73.0,2025-10-05T14:47:53.585129
35.43012323232323,45.45191596969697,0.07016664593492741,7.016664593492742,Low,1.0,74.0,2025-10-05T14:47:53.586128
35.43012323232323,45.45591709090909,0.13739911381184053,13.739911381184053,Low,1.0,75.0,2025-10-05T14:47:53.587128
35.43012323232323,45.45991821212121,0.06057812961179341,6.057812961179341,Low,1.0,76.0,2025-10-05T14:47:53.587128
35.43012323232323,45.46391933333333,0.18497871625248996,18.497871625248997,Low,1.0,77.0,2025-10-05T14:47:53.587128
35.43012323232323,45.46792045454546,0.004473673687243318,0.4473673687243318,Low,1.0,78.0,2025-10-05T14:47:53.587128
35.43012323232323,45.47192157575758,0.16463529612649322,16.46352961264932,Low,1.0,79.0,2025-10-05T14:47:53.588126
35.43012323232323,45.4759226969697,0.15026114676563118,15.026114676563118,Low,1.0,80.0,2025-10-05T14:47:53.588126
35.43012323232323,45.47992381818182,0.0007161874297789917,0.07161874297789916,Low,1.0,81.0,2025-10-05T14:47:53.588126
35.43012323232323,45.48392493939394,0.19202498224336895,19.202498224336896,Low,1.0,82.0,2025-10-05T14:47:53.588126
35.43012323232323,45.48792606060606,0.08393154892050668,8.393154892050667,Low,1.0,83.0,2025-10-05T14:47:53.589126
35.43012323232323,45.491927181818184,0.07403580052663086,7.403580052663086,Low,1.0,84.0,2025-10-05T14:47:53.589126
35.43012323232323,45.495928303030304,0.14135635557832002,14.135635557832002,Low,1.0,85.0,2025-10-05T14:47:53.589126
35.43012323232323,45.499929424242424,0.06846159377069023,6.846159377069023,Low,1.0,86.0,2025-10-05T14:47:53.589126
35.43012323232323,45.503930545454544,0.025139252071393295,2.5139252071393297,Low,1.0,87.0,2025-10-05T14:47:53.590156
35.43012323232323,45.507931666666664,0.10420926210625732,10.420926210625732,Low,1.0,88.0,2025-10-05T14:47:53.590156
35.43012323232323,45.511932787878784,0.030928315880164203,3.0928315880164203,Low,1.0,89.0,2025-10-05T14:47:53.590156
35.43012323232323,45.51593390909091,0.1272023676125457,12.720236761254569,Low,1.0,90.0,2025-10-05T14:47:53.590156
35.43012323232323,45.51993503030303,0.18100437626475363,18.10043762647536,Low,1.0,91.0,2025-10-05T14:47:53.590156
35.43012323232323,45.52393615151515,0.12975046601452875,12.975046601452874,Low,1.0,92.0,2025-10-05T14:47:53.591188
35.43012323232323,45.52793727272727,0.008656354511597852,0.8656354511597852,Low,1.0,93.0,2025-10-05T14:47:53.592515
35.43012323232323,45.53193839393939,0.1706761978579878,17.06761978579878,Low,1.0,94.0,2025-10-05T14:47:53.593554
35.43012323232323,45.53593951515151,0.16923126183829604,16.923126183829602,Low,1.0,95.0,2025-10-05T14:47:53.593554
35.43012323232323,45.53994063636364,0.07358757608772515,7.358757608772515,Low,1.0,96.0,2025-10-05T14:47:53.593554
35.43012323232323,45.54394175757576,0.12364475039925578,12.364475039925578,Low,1.0,97.0,2025-10-05T14:47:53.593554
35.43012323232323,45.54794287878788,0.14561399503601263,14.561399503601264,Low,1.0,98.0,2025-10-05T14:47:53.594553
35.43012323232323,45.551944,0.07184680872481962,7.1846808724819615,Low,1.0,99.0,2025-10-05T14:47:53.594553
35.433024464646465,45.155833,0.19852678211952612,19.85267821195261,Low,2.0,0.0,2025-10-05T14:47:53.594553
35.433024464646465,45.15983412121212,0.12240544890677969,12.240544890677969,Low,2.0,1.0,2025-10-05T14:47:53.594553
35.433024464646465,45.16383524242424,0.0945592301333008,9.455923013330079,Low,2.0,2.0,2025-10-05T14:47:53.594553
35.433024464646465,45.16783636363636,0.18554222416614752,18.554222416614753,Low,2.0,3.0,2025-10-05T14:47:53.594553
35.433024464646465,45.17183748484849,0.05391249488333654,5.391249488333654,Low,2.0,4.0,2025-10-05T14:47:53.594553
35.433024464646465,45.17583860606061,0.19684818570955145,19.684818570955144,Low,2.0,5.0,2025-10-05T14:47:53.595554
35.433024464646465,45.17983972727273,0.03969951187623031,3.969951187623031,Low,2.0,6.0,2025-10-05T14:47:53.595554
35.433024464646465,45.18384084848485,0.12390309010723698,12.390309010723698,Low,2.0,7.0,2025-10-05T14:47:53.595554
35.433024464646465,45.18784196969697,0.14691265907914805,14.691265907914804,Low,2.0,8.0,2025-10-05T14:47:53.595554
35.433024464646465,45.19184309090909,0.03190188354764032,3.190188354764032,Low,2.0,9.0,2025-10-05T14:47:53.595554
35.433024464646465,45.195844212121216,0.014488142420331897,1.4488142420331898,Low,2.0,10.0,2025-10-05T14:47:53.596380
35.433024464646465,45.199845333333336,0.04349526670120632,4.349526670120632,Low,2.0,11.0,2025-10-05T14:47:53.596380
35.433024464646465,45.203846454545456,0.1050616146247496,10.50616146247496,Low,2.0,12.0,2025-10-05T14:47:53.596907
35.433024464646465,45.207847575757576,0.07195375171742828,7.195375171742828,Low,2.0,13.0,2025-10-05T14:47:53.596907
35.433024464646465,45.211848696969696,0.1861882861380836,18.61882861380836,Low,2.0,14.0,2025-10-05T14:47:53.596907
35.433024464646465,45.215849818181816,0.061393691596909175,6.139369159690918,Low,2.0,15.0,2025-10-05T14:47:53.596907
35.433024464646465,45.21985093939394,0.14402464634115494,14.402464634115494,Low,2.0,16.0,2025-10-05T14:47:53.596907
35.433024464646465,45.22385206060606,0.14027180973336822,14.027180973336822,Low,2.0,17.0,2025-10-05T14:47:53.596907
35.433024464646465,45.22785318181818,0.16761017928708,16.761017928708,Low,2.0,18.0,2025-10-05T14:47:53.596907
35.433024464646465,45.2318543030303,0.11764867293082137,11.764867293082137,Low,2.0,19.0,2025-10-05T14:47:53.596907
35.433024464646465,45.23585542424242,0.14004118363871687,14.004118363871687,Low,2.0,20.0,2025-10-05T14:47:53.596907
35.433024464646465,45.23985654545454,0.06892436369458492,6.892436369458492,Low,2.0,21.0,2025-10-05T14:47:53.597945
35.433024464646465,45.24385766666667,0.10715028052816321,10.71502805281632,Low,2.0,22.0,2025-10-05T14:47:53.597945
35.433024464646465,45.24785878787879,0.005491158570041833,0.5491158570041833,Low,2.0,23.0,2025-10-05T14:47:53.597945
35.433024464646465,45.25185990909091,0.08048048346178363,8.048048346178364,Low,2.0,24.0,2025-10-05T14:47:53.597945
35.433024464646465,45.25586103030303,0.1691011920655229,16.91011920655229,Low,2.0,25.0,2025-10-05T14:47:53.597945
35.433024464646465,45.25986215151515,0.018192679514201338,1.8192679514201338,Low,2.0,26.0,2025-10-05T14:47:53.597945
35.433024464646465,45.26386327272727,0.10108029379992987,10.108029379992987,Low,2.0,27.0,2025-10-05T14:47:53.597945
35.433024464646465,45.2678643939394,0.17151481204979152,17.151481204979152,Low,2.0,28.0,2025-10-05T14:47:53.598950
35.433024464646465,45.27186551515152,0.14555824433216358,14.555824433216358,Low,2.0,29.0,2025-10-05T14:47:53.598950
35.433024464646465,45.27586663636364,0.06639274387673758,6.639274387673757,Low,2.0,30.0,2025-10-05T14:47:53.598950
35.433024464646465,45.27986775757576,0.14809402184206352,14.809402184206352,Low,2.0,31.0,2025-10-05T14:47:53.598950
35.433024464646465,45.28386887878788,0.036009823631137784,3.6009823631137783,Low,2.0,32.0,2025-10-05T14:47:53.598950
35.433024464646465,45.28787,0.17235669048031071,17.23566904803107,Low,2.0,33.0,2025-10-05T14:47:53.598950
35.433024464646465,45.29187112121212,0.009773071469769424,0.9773071469769424,Low,2.0,34.0,2025-10-05T14:47:53.598950
35.433024464646465,45.295872242424245,0.09263265031761242,9.263265031761241,Low,2.0,35.0,2025-10-05T14:47:53.598950
