date,lat,lon,estimated_ndvi,vegetation_category
2024-06-01,35.4164,45.62,0.238,Sparse Vegetation
2024-06-01,35.4246,45.25,0.239,Sparse Vegetation
2024-06-01,35.4246,45.2595,0.337,Moderate Vegetation
2024-06-01,35.4246,45.269,0.376,Moderate Vegetation
2024-06-01,35.4246,45.2785,0.609,Dense Vegetation
2024-06-01,35.4246,45.2879,0.38,Moderate Vegetation
2024-06-01,35.4246,45.2974,0.513,Moderate Vegetation
2024-06-01,35.4246,45.3069,0.326,Moderate Vegetation
2024-06-01,35.4246,45.3164,0.686,Dense Vegetation
2024-06-01,35.4246,45.3259,0.537,Moderate Vegetation
2024-06-01,35.4246,45.3354,0.561,Moderate Vegetation
2024-06-01,35.4246,45.3449,0.523,Moderate Vegetation
2024-06-01,35.4246,45.3544,0.46,Moderate Vegetation
2024-06-01,35.4246,45.3638,0.413,Moderate Vegetation
2024-06-01,35.4246,45.3733,0.654,Dense Vegetation
2024-06-01,35.4246,45.3828,0.574,Moderate Vegetation
2024-06-01,35.4246,45.3923,0.523,Moderate Vegetation
2024-06-01,35.4246,45.4018,0.555,Moderate Vegetation
2024-06-01,35.4246,45.4113,0.544,Moderate Vegetation
2024-06-01,35.4246,45.4208,0.434,Moderate Vegetation
2024-06-01,35.4246,45.4303,0.531,Moderate Vegetation
2024-06-01,35.4246,45.4397,0.569,Moderate Vegetation
2024-06-01,35.4246,45.4492,0.408,Moderate Vegetation
2024-06-01,35.4246,45.4587,0.55,Moderate Vegetation
2024-06-01,35.4246,45.4682,0.514,Moderate Vegetation
2024-06-01,35.4246,45.4777,0.654,Dense Vegetation
2024-06-01,35.4246,45.4872,0.504,Moderate Vegetation
2024-06-01,35.4246,45.4967,0.593,Moderate Vegetation
2024-06-01,35.4246,45.5062,0.34,Moderate Vegetation
2024-06-01,35.4246,45.5156,0.559,Moderate Vegetation
2024-06-01,35.4246,45.5251,0.455,Moderate Vegetation
2024-06-01,35.4246,45.5346,0.42,Moderate Vegetation
2024-06-01,35.4246,45.5441,0.372,Moderate Vegetation
2024-06-01,35.4246,45.5536,0.257,Sparse Vegetation
2024-06-01,35.4246,45.5631,0.425,Moderate Vegetation
2024-06-01,35.4246,45.5726,0.569,Moderate Vegetation
2024-06-01,35.4246,45.5821,0.268,Sparse Vegetation
2024-06-01,35.4246,45.5915,0.229,Sparse Vegetation
2024-06-01,35.4246,45.601,0.57,Moderate Vegetation
2024-06-01,35.4246,45.6105,0.309,Moderate Vegetation
2024-06-01,35.4246,45.62,0.207,Sparse Vegetation
2024-06-01,35.4328,45.25,0.143,Sparse Vegetation
2024-06-01,35.4328,45.2595,0.492,Moderate Vegetation
2024-06-01,35.4328,45.269,0.355,Moderate Vegetation
2024-06-01,35.4328,45.2785,0.478,Moderate Vegetation
2024-06-01,35.4328,45.2879,0.422,Moderate Vegetation
2024-06-01,35.4328,45.2974,0.413,Moderate Vegetation
2024-06-01,35.4328,45.3069,0.424,Moderate Vegetation
2024-06-01,35.4328,45.3164,0.414,Moderate Vegetation
2024-06-01,35.4328,45.3259,0.544,Moderate Vegetation
2024-06-01,35.4328,45.3354,0.567,Moderate Vegetation
2024-06-01,35.4328,45.3449,0.598,Moderate Vegetation
2024-06-01,35.4328,45.3544,0.447,Moderate Vegetation
2024-06-01,35.4328,45.3638,0.501,Moderate Vegetation
2024-06-01,35.4328,45.3733,0.519,Moderate Vegetation
2024-06-01,35.4328,45.3828,0.485,Moderate Vegetation
2024-06-01,35.4328,45.3923,0.479,Moderate Vegetation
2024-06-01,35.4328,45.4018,0.518,Moderate Vegetation
2024-06-01,35.4328,45.4113,0.558,Moderate Vegetation
2024-06-01,35.4328,45.4208,0.503,Moderate Vegetation
2024-06-01,35.4328,45.4303,0.647,Dense Vegetation
2024-06-01,35.4328,45.4397,0.386,Moderate Vegetation
2024-06-01,35.4328,45.4492,0.507,Moderate Vegetation
2024-06-01,35.4328,45.4587,0.795,Dense Vegetation
2024-06-01,35.4328,45.4682,0.733,Dense Vegetation
2024-06-01,35.4328,45.4777,0.331,Moderate Vegetation
2024-06-01,35.4328,45.4872,0.519,Moderate Vegetation
2024-06-01,35.4328,45.4967,0.516,Moderate Vegetation
2024-06-01,35.4328,45.5062,0.399,Moderate Vegetation
2024-06-01,35.4328,45.5156,0.575,Moderate Vegetation
2024-06-01,35.4328,45.5251,0.497,Moderate Vegetation
2024-06-01,35.4328,45.5346,0.465,Moderate Vegetation
2024-06-01,35.4328,45.5441,0.472,Moderate Vegetation
2024-06-01,35.4328,45.5536,0.402,Moderate Vegetation
2024-06-01,35.4328,45.5631,0.352,Moderate Vegetation
2024-06-01,35.4328,45.5726,0.392,Moderate Vegetation
2024-06-01,35.4328,45.5821,0.462,Moderate Vegetation
2024-06-01,35.4328,45.5915,0.374,Moderate Vegetation
2024-06-01,35.4328,45.601,0.254,Sparse Vegetation
2024-06-01,35.4328,45.6105,0.436,Moderate Vegetation
2024-06-01,35.4328,45.62,0.46,Moderate Vegetation
2024-06-01,35.441,45.25,0.388,Moderate Vegetation
2024-06-01,35.441,45.2595,0.297,Sparse Vegetation
2024-06-01,35.441,45.269,0.402,Moderate Vegetation
2024-06-01,35.441,45.2785,0.445,Moderate Vegetation
2024-06-01,35.441,45.2879,0.28,Sparse Vegetation
2024-06-01,35.441,45.2974,0.485,Moderate Vegetation
2024-06-01,35.441,45.3069,0.237,Sparse Vegetation
2024-06-01,35.441,45.3164,0.587,Moderate Vegetation
2024-06-01,35.441,45.3259,0.594,Moderate Vegetation
2024-06-01,35.441,45.3354,0.51,Moderate Vegetation
2024-06-01,35.441,45.3449,0.523,Moderate Vegetation
2024-06-01,35.441,45.3544,0.526,Moderate Vegetation
2024-06-01,35.441,45.3638,0.53,Moderate Vegetation
2024-06-01,35.441,45.3733,0.632,Dense Vegetation
2024-06-01,35.441,45.3828,0.551,Moderate Vegetation
2024-06-01,35.441,45.3923,0.561,Moderate Vegetation
2024-06-01,35.441,45.4018,0.324,Moderate Vegetation
2024-06-01,35.441,45.4113,0.581,Moderate Vegetation
2024-06-01,35.441,45.4208,0.316,Moderate Vegetation
2024-06-01,35.441,45.4303,0.637,Dense Vegetation
2024-06-01,35.441,45.4397,0.465,Moderate Vegetation
2024-06-01,35.441,45.4492,0.507,Moderate Vegetation
2024-06-01,35.441,45.4587,0.668,Dense Vegetation
2024-06-01,35.441,45.4682,0.589,Moderate Vegetation
2024-06-01,35.441,45.4777,0.663,Dense Vegetation
2024-06-01,35.441,45.4872,0.549,Moderate Vegetation
2024-06-01,35.441,45.4967,0.443,Moderate Vegetation
2024-06-01,35.441,45.5062,0.627,Dense Vegetation
2024-06-01,35.441,45.5156,0.479,Moderate Vegetation
2024-06-01,35.441,45.5251,0.568,Moderate Vegetation
2024-06-01,35.441,45.5346,0.433,Moderate Vegetation
2024-06-01,35.441,45.5441,0.578,Moderate Vegetation
2024-06-01,35.441,45.5536,0.563,Moderate Vegetation
2024-06-01,35.441,45.5631,0.489,Moderate Vegetation
2024-06-01,35.441,45.5726,0.478,Moderate Vegetation
2024-06-01,35.441,45.5821,0.48,Moderate Vegetation
2024-06-01,35.441,45.5915,0.373,Moderate Vegetation
2024-06-01,35.441,45.601,0.545,Moderate Vegetation
2024-06-01,35.441,45.6105,0.289,Sparse Vegetation
2024-06-01,35.441,45.62,0.559,Moderate Vegetation
2024-06-01,35.4492,45.25,0.396,Moderate Vegetation
2024-06-01,35.4492,45.2595,0.297,Sparse Vegetation
2024-06-01,35.4492,45.269,0.327,Moderate Vegetation
2024-06-01,35.4492,45.2785,0.352,Moderate Vegetation
2024-06-01,35.4492,45.2879,0.633,Dense Vegetation
2024-06-01,35.4492,45.2974,0.514,Moderate Vegetation
2024-06-01,35.4492,45.3069,0.435,Moderate Vegetation
2024-06-01,35.4492,45.3164,0.297,Sparse Vegetation
2024-06-01,35.4492,45.3259,0.419,Moderate Vegetation
2024-06-01,35.4492,45.3354,0.475,Moderate Vegetation
2024-06-01,35.4492,45.3449,0.362,Moderate Vegetation
2024-06-01,35.4492,45.3544,0.474,Moderate Vegetation
2024-06-01,35.4492,45.3638,0.479,Moderate Vegetation
2024-06-01,35.4492,45.3733,0.669,Dense Vegetation
2024-06-01,35.4492,45.3828,0.596,Moderate Vegetation
2024-06-01,35.4492,45.3923,0.528,Moderate Vegetation
2024-06-01,35.4492,45.4018,0.473,Moderate Vegetation
2024-06-01,35.4492,45.4113,0.539,Moderate Vegetation
2024-06-01,35.4492,45.4208,0.226,Sparse Vegetation
2024-06-01,35.4492,45.4303,0.539,Moderate Vegetation
2024-06-01,35.4492,45.4397,0.547,Moderate Vegetation
2024-06-01,35.4492,45.4492,0.468,Moderate Vegetation
2024-06-01,35.4492,45.4587,0.482,Moderate Vegetation
2024-06-01,35.4492,45.4682,0.352,Moderate Vegetation
2024-06-01,35.4492,45.4777,0.717,Dense Vegetation
2024-06-01,35.4492,45.4872,0.531,Moderate Vegetation
2024-06-01,35.4492,45.4967,0.494,Moderate Vegetation
2024-06-01,35.4492,45.5062,0.334,Moderate Vegetation
2024-06-01,35.4492,45.5156,0.345,Moderate Vegetation
2024-06-01,35.4492,45.5251,0.425,Moderate Vegetation
2024-06-01,35.4492,45.5346,0.267,Sparse Vegetation
2024-06-01,35.4492,45.5441,0.234,Sparse Vegetation
2024-06-01,35.4492,45.5536,0.513,Moderate Vegetation
2024-06-01,35.4492,45.5631,0.319,Moderate Vegetation
2024-06-01,35.4492,45.5726,0.234,Sparse Vegetation
2024-06-01,35.4492,45.5821,0.46,Moderate Vegetation
2024-06-01,35.4492,45.5915,0.428,Moderate Vegetation
2024-06-01,35.4492,45.601,0.387,Moderate Vegetation
2024-06-01,35.4492,45.6105,0.499,Moderate Vegetation
2024-06-01,35.4492,45.62,0.326,Moderate Vegetation
2024-06-01,35.4574,45.25,0.513,Moderate Vegetation
2024-06-01,35.4574,45.2595,0.639,Dense Vegetation
2024-06-01,35.4574,45.269,0.424,Moderate Vegetation
2024-06-01,35.4574,45.2785,0.479,Moderate Vegetation
2024-06-01,35.4574,45.2879,0.284,Sparse Vegetation
2024-06-01,35.4574,45.2974,0.313,Moderate Vegetation
2024-06-01,35.4574,45.3069,0.516,Moderate Vegetation
2024-06-01,35.4574,45.3164,0.307,Moderate Vegetation
2024-06-01,35.4574,45.3259,0.483,Moderate Vegetation
2024-06-01,35.4574,45.3354,0.511,Moderate Vegetation
2024-06-01,35.4574,45.3449,0.375,Moderate Vegetation
2024-06-01,35.4574,45.3544,0.535,Moderate Vegetation
2024-06-01,35.4574,45.3638,0.57,Moderate Vegetation
2024-06-01,35.4574,45.3733,0.49,Moderate Vegetation
2024-06-01,35.4574,45.3828,0.408,Moderate Vegetation
2024-06-01,35.4574,45.3923,0.662,Dense Vegetation
2024-06-01,35.4574,45.4018,0.598,Moderate Vegetation
2024-06-01,35.4574,45.4113,0.557,Moderate Vegetation
2024-06-01,35.4574,45.4208,0.607,Dense Vegetation
2024-06-01,35.4574,45.4303,0.586,Moderate Vegetation
2024-06-01,35.4574,45.4397,0.539,Moderate Vegetation
2024-06-01,35.4574,45.4492,0.664,Dense Vegetation
2024-06-01,35.4574,45.4587,0.688,Dense Vegetation
2024-06-01,35.4574,45.4682,0.722,Dense Vegetation
2024-06-01,35.4574,45.4777,0.521,Moderate Vegetation
2024-06-01,35.4574,45.4872,0.452,Moderate Vegetation
2024-06-01,35.4574,45.4967,0.707,Dense Vegetation
2024-06-01,35.4574,45.5062,0.453,Moderate Vegetation
2024-06-01,35.4574,45.5156,0.475,Moderate Vegetation
2024-06-01,35.4574,45.5251,0.523,Moderate Vegetation
2024-06-01,35.4574,45.5346,0.437,Moderate Vegetation
2024-06-01,35.4574,45.5441,0.147,Sparse Vegetation
2024-06-01,35.4574,45.5536,0.501,Moderate Vegetation
2024-06-01,35.4574,45.5631,0.315,Moderate Vegetation
2024-06-01,35.4574,45.5726,0.489,Moderate Vegetation
2024-06-01,35.4574,45.5821,0.291,Sparse Vegetation
2024-06-01,35.4574,45.5915,0.472,Moderate Vegetation
2024-06-01,35.4574,45.601,0.481,Moderate Vegetation
2024-06-01,35.4574,45.6105,0.444,Moderate Vegetation
2024-06-01,35.4574,45.62,0.492,Moderate Vegetation
2024-06-01,35.4656,45.25,0.429,Moderate Vegetation
2024-06-01,35.4656,45.2595,0.458,Moderate Vegetation
2024-06-01,35.4656,45.269,0.621,Dense Vegetation
2024-06-01,35.4656,45.2785,0.452,Moderate Vegetation
2024-06-01,35.4656,45.2879,0.463,Moderate Vegetation
2024-06-01,35.4656,45.2974,0.496,Moderate Vegetation
2024-06-01,35.4656,45.3069,0.574,Moderate Vegetation
2024-06-01,35.4656,45.3164,0.764,Dense Vegetation
2024-06-01,35.4656,45.3259,0.404,Moderate Vegetation
2024-06-01,35.4656,45.3354,0.435,Moderate Vegetation
2024-06-01,35.4656,45.3449,0.634,Dense Vegetation
2024-06-01,35.4656,45.3544,0.54,Moderate Vegetation
2024-06-01,35.4656,45.3638,0.546,Moderate Vegetation
2024-06-01,35.4656,45.3733,0.707,Dense Vegetation
2024-06-01,35.4656,45.3828,0.559,Moderate Vegetation
2024-06-01,35.4656,45.3923,0.509,Moderate Vegetation
2024-06-01,35.4656,45.4018,0.543,Moderate Vegetation
2024-06-01,35.4656,45.4113,0.451,Moderate Vegetation
2024-06-01,35.4656,45.4208,0.441,Moderate Vegetation
2024-06-01,35.4656,45.4303,0.422,Moderate Vegetation
2024-06-01,35.4656,45.4397,0.535,Moderate Vegetation
2024-06-01,35.4656,45.4492,0.579,Moderate Vegetation
2024-06-01,35.4656,45.4587,0.378,Moderate Vegetation
2024-06-01,35.4656,45.4682,0.755,Dense Vegetation
2024-06-01,35.4656,45.4777,0.499,Moderate Vegetation
2024-06-01,35.4656,45.4872,0.616,Dense Vegetation
2024-06-01,35.4656,45.4967,0.573,Moderate Vegetation
2024-06-01,35.4656,45.5062,0.448,Moderate Vegetation
2024-06-01,35.4656,45.5156,0.497,Moderate Vegetation
2024-06-01,35.4656,45.5251,0.385,Moderate Vegetation
2024-06-01,35.4656,45.5346,0.568,Moderate Vegetation
2024-06-01,35.4656,45.5441,0.456,Moderate Vegetation
2024-06-01,35.4656,45.5536,0.535,Moderate Vegetation
2024-06-01,35.4656,45.5631,0.489,Moderate Vegetation
2024-06-01,35.4656,45.5726,0.431,Moderate Vegetation
2024-06-01,35.4656,45.5821,0.437,Moderate Vegetation
2024-06-01,35.4656,45.5915,0.382,Moderate Vegetation
2024-06-01,35.4656,45.601,0.403,Moderate Vegetation
2024-06-01,35.4656,45.6105,0.551,Moderate Vegetation
2024-06-01,35.4656,45.62,0.309,Moderate Vegetation
2024-06-01,35.4738,45.25,0.486,Moderate Vegetation
2024-06-01,35.4738,45.2595,0.524,Moderate Vegetation
2024-06-01,35.4738,45.269,0.436,Moderate Vegetation
2024-06-01,35.4738,45.2785,0.635,Dense Vegetation
2024-06-01,35.4738,45.2879,0.493,Moderate Vegetation
2024-06-01,35.4738,45.2974,0.371,Moderate Vegetation
2024-06-01,35.4738,45.3069,0.419,Moderate Vegetation
2024-06-01,35.4738,45.3164,0.436,Moderate Vegetation
2024-06-01,35.4738,45.3259,0.573,Moderate Vegetation
2024-06-01,35.4738,45.3354,0.643,Dense Vegetation
2024-06-01,35.4738,45.3449,0.487,Moderate Vegetation
2024-06-01,35.4738,45.3544,0.606,Dense Vegetation
2024-06-01,35.4738,45.3638,0.562,Moderate Vegetation
2024-06-01,35.4738,45.3733,0.471,Moderate Vegetation
2024-06-01,35.4738,45.3828,0.556,Moderate Vegetation
2024-06-01,35.4738,45.3923,0.468,Moderate Vegetation
2024-06-01,35.4738,45.4018,0.721,Dense Vegetation
2024-06-01,35.4738,45.4113,0.629,Dense Vegetation
2024-06-01,35.4738,45.4208,0.546,Moderate Vegetation
2024-06-01,35.4738,45.4303,0.668,Dense Vegetation
2024-06-01,35.4738,45.4397,0.6,Dense Vegetation
2024-06-01,35.4738,45.4492,0.474,Moderate Vegetation
2024-06-01,35.4738,45.4587,0.608,Dense Vegetation
2024-06-01,35.4738,45.4682,0.437,Moderate Vegetation
2024-06-01,35.4738,45.4777,0.48,Moderate Vegetation
2024-06-01,35.4738,45.4872,0.662,Dense Vegetation
2024-06-01,35.4738,45.4967,0.578,Moderate Vegetation
2024-06-01,35.4738,45.5062,0.701,Dense Vegetation
2024-06-01,35.4738,45.5156,0.585,Moderate Vegetation
2024-06-01,35.4738,45.5251,0.484,Moderate Vegetation
2024-06-01,35.4738,45.5346,0.564,Moderate Vegetation
2024-06-01,35.4738,45.5441,0.434,Moderate Vegetation
2024-06-01,35.4738,45.5536,0.444,Moderate Vegetation
2024-06-01,35.4738,45.5631,0.789,Dense Vegetation
2024-06-01,35.4738,45.5726,0.485,Moderate Vegetation
2024-06-01,35.4738,45.5821,0.502,Moderate Vegetation
2024-06-01,35.4738,45.5915,0.495,Moderate Vegetation
2024-06-01,35.4738,45.601,0.532,Moderate Vegetation
2024-06-01,35.4738,45.6105,0.352,Moderate Vegetation
2024-06-01,35.4738,45.62,0.214,Sparse Vegetation
2024-06-01,35.4821,45.25,0.598,Moderate Vegetation
2024-06-01,35.4821,45.2595,0.478,Moderate Vegetation
2024-06-01,35.4821,45.269,0.505,Moderate Vegetation
2024-06-01,35.4821,45.2785,0.44,Moderate Vegetation
2024-06-01,35.4821,45.2879,0.374,Moderate Vegetation
2024-06-01,35.4821,45.2974,0.505,Moderate Vegetation
2024-06-01,35.4821,45.3069,0.488,Moderate Vegetation
2024-06-01,35.4821,45.3164,0.41,Moderate Vegetation
2024-06-01,35.4821,45.3259,0.287,Sparse Vegetation
2024-06-01,35.4821,45.3354,0.697,Dense Vegetation
2024-06-01,35.4821,45.3449,0.596,Moderate Vegetation
2024-06-01,35.4821,45.3544,0.499,Moderate Vegetation
2024-06-01,35.4821,45.3638,0.756,Dense Vegetation
2024-06-01,35.4821,45.3733,0.367,Moderate Vegetation
2024-06-01,35.4821,45.3828,0.697,Dense Vegetation
2024-06-01,35.4821,45.3923,0.782,Dense Vegetation
2024-06-01,35.4821,45.4018,0.488,Moderate Vegetation
2024-06-01,35.4821,45.4113,0.76,Dense Vegetation
2024-06-01,35.4821,45.4208,0.717,Dense Vegetation
2024-06-01,35.4821,45.4303,0.601,Dense Vegetation
2024-06-01,35.4821,45.4397,0.695,Dense Vegetation
2024-06-01,35.4821,45.4492,0.471,Moderate Vegetation
2024-06-01,35.4821,45.4587,0.605,Dense Vegetation
2024-06-01,35.4821,45.4682,0.597,Moderate Vegetation
2024-06-01,35.4821,45.4777,0.518,Moderate Vegetation
2024-06-01,35.4821,45.4872,0.483,Moderate Vegetation
2024-06-01,35.4821,45.4967,0.437,Moderate Vegetation
2024-06-01,35.4821,45.5062,0.618,Dense Vegetation
2024-06-01,35.4821,45.5156,0.66,Dense Vegetation
2024-06-01,35.4821,45.5251,0.557,Moderate Vegetation
2024-06-01,35.4821,45.5346,0.555,Moderate Vegetation
2024-06-01,35.4821,45.5441,0.472,Moderate Vegetation
2024-06-01,35.4821,45.5536,0.537,Moderate Vegetation
2024-06-01,35.4821,45.5631,0.351,Moderate Vegetation
2024-06-01,35.4821,45.5726,0.51,Moderate Vegetation
2024-06-01,35.4821,45.5821,0.363,Moderate Vegetation
2024-06-01,35.4821,45.5915,0.494,Moderate Vegetation
2024-06-01,35.4821,45.601,0.379,Moderate Vegetation
2024-06-01,35.4821,45.6105,0.533,Moderate Vegetation
2024-06-01,35.4821,45.62,0.429,Moderate Vegetation
2024-06-01,35.4903,45.25,0.483,Moderate Vegetation
2024-06-01,35.4903,45.2595,0.382,Moderate Vegetation
2024-06-01,35.4903,45.269,0.465,Moderate Vegetation
2024-06-01,35.4903,45.2785,0.607,Dense Vegetation
2024-06-01,35.4903,45.2879,0.436,Moderate Vegetation
2024-06-01,35.4903,45.2974,0.56,Moderate Vegetation
2024-06-01,35.4903,45.3069,0.323,Moderate Vegetation
2024-06-01,35.4903,45.3164,0.522,Moderate Vegetation
2024-06-01,35.4903,45.3259,0.502,Moderate Vegetation
2024-06-01,35.4903,45.3354,0.416,Moderate Vegetation
2024-06-01,35.4903,45.3449,0.46,Moderate Vegetation
2024-06-01,35.4903,45.3544,0.695,Dense Vegetation
2024-06-01,35.4903,45.3638,0.478,Moderate Vegetation
2024-06-01,35.4903,45.3733,0.423,Moderate Vegetation
2024-06-01,35.4903,45.3828,0.615,Dense Vegetation
2024-06-01,35.4903,45.3923,0.641,Dense Vegetation
